head                          _X,head                          _Y,head                          _Z,chest                         _X,chest                         _Y,chest                         _Z,rShoulder                     _X,rShoulder                     _Y,rShoulder                     _Z,rElbow                        _X,rElbow                        _Y,rElbow                        _Z,rWrist                        _X,rWrist                        _Y,rWrist                        _Z,lShoulder                     _X,lShoulder                     _Y,lShoulder                     _Z,lElbow                        _X,lElbow                        _Y,lElbow                        _Z,lWrist                        _X,lWrist                        _Y,lWrist                        _Z,lHip                          _X,lHip                          _Y,lHip                          _Z,rKnee                         _X,rKnee                         _Y,rKnee                         _Z,lKnee                         _X,lKnee                         _Y,lKnee                         _Z,rHeel                         _X,rHeel                         _Y,rHeel                         _Z,lHeel                         _X,lHeel                         _Y,lHeel                         _Z,rToe                          _X,rToe                          _Y,rToe                          _Z,lToe                          _X,lToe                          _Y,lToe                          _Z,rHip                          _X,rHip                          _Y,rHip                          _Z
18.24509,-152.68733,1340.5336,12.558991,-88.21056,912.03394,211.98256,-145.60289,1016.8288,163.78969,-66.98255,696.18396,-72.190125,-38.846626,860.68365,-184.03131,-152.33269,1017.81665,-186.44377,-46.24664,720.0217,73.43669,-3.3469803,844.5058,-151.22073,-230.98782,610.27216,163.55058,231.91086,545.8611,-143.44461,231.23734,548.44495,126.76263,77.829796,68.16615,-147.42905,78.31268,79.46008,187.57959,340.50763,76.67706,-176.30235,342.6671,86.24875,0.0,0.0,0.0
18.164425,-150.43355,1339.6199,12.778811,-87.748085,911.1378,212.05437,-143.74124,1016.489,163.8073,-66.27373,695.6163,-72.23625,-37.67688,860.1621,-183.91844,-150.63907,1017.73126,-186.6247,-45.434723,719.6929,73.53923,-2.071117,843.6463,-151.05835,-230.37238,610.56744,163.69063,232.07362,545.8601,-143.66649,231.36076,548.4237,126.65949,77.85375,68.24274,-147.4076,78.32565,79.45115,187.56987,340.5929,76.66058,-176.25279,342.63956,86.218475,0.0,0.0,0.0
18.502518,-147.70044,1339.9856,12.167497,-84.89539,911.32404,212.36662,-141.89038,1016.3298,163.81929,-65.54489,695.0326,-72.20527,-36.58547,859.69977,-183.71675,-148.9616,1017.6385,-186.879,-44.64667,719.3396,73.39372,-1.0888814,843.03485,-151.10999,-230.09459,610.78015,163.9699,232.31613,545.9468,-144.01846,231.46855,548.297,126.94273,77.69481,68.2215,-147.49817,78.275024,79.46452,187.57536,340.57666,76.590294,-176.24643,342.5566,85.99272,0.0,0.0,0.0
19.023046,-144.66156,1340.224,12.490241,-84.0134,910.7626,212.45453,-140.01704,1016.0592,164.29523,-64.68754,694.4586,-72.496056,-35.0451,859.16547,-183.63994,-147.23329,1017.5972,-187.03075,-43.812943,718.9941,74.435974,0.9679551,842.2654,-151.07365,-229.56648,610.8253,164.1221,232.50368,545.8951,-144.21834,231.66797,548.2481,127.045395,77.812294,68.17654,-147.6288,78.14544,79.52491,187.53708,340.56842,76.55963,-176.25127,342.51004,85.78675,0.0,0.0,0.0
18.745983,-142.08589,1339.6929,12.6322,-82.6524,910.21783,212.39204,-138.15047,1015.5981,164.34663,-64.38858,693.997,-72.4305,-33.803673,858.6443,-183.52565,-145.47546,1017.50464,-187.08792,-42.876827,718.5611,73.402405,1.4784684,841.5589,-151.0195,-229.04941,611.06726,164.12994,232.69211,545.7195,-144.35538,231.88145,548.25775,126.76265,77.56438,68.22763,-147.428,78.346596,79.42112,187.5613,340.60193,76.59747,-176.15303,342.55347,85.89189,0.0,0.0,0.0
19.542303,-139.22758,1339.6072,12.941037,-81.78377,909.7481,212.50343,-136.16852,1015.23206,164.05289,-63.248653,693.2376,-72.37772,-32.433365,858.129,-183.33899,-143.68044,1017.41833,-187.19592,-42.014008,718.18384,73.49714,3.086076,840.72955,-151.0109,-228.79434,611.1935,164.51689,232.89398,545.7411,-144.38092,232.23795,548.26904,127.18088,77.99243,68.20345,-147.60326,78.15123,79.52812,187.56229,340.59323,76.51023,-176.2421,342.5557,85.5963,0.0,0.0,0.0
19.726746,-136.41037,1339.2476,12.943167,-79.447235,909.8633,212.77342,-134.18898,1015.09973,164.37395,-62.760155,692.985,-72.36449,-31.080532,857.6417,-183.26837,-141.81813,1017.32025,-187.92351,-41.46443,717.90485,73.67501,4.46845,840.01196,-151.01865,-228.1009,611.33923,164.75902,233.03812,545.705,-144.49927,232.5441,548.23145,126.55488,77.81736,68.3061,-147.37607,78.359856,79.46318,187.60284,340.58514,76.404884,-176.69553,342.57486,86.145424,0.0,0.0,0.0
20.076069,-133.90079,1338.8783,12.7957115,-78.01984,909.29956,212.94537,-132.23032,1014.8057,164.07237,-61.40012,692.17615,-72.30776,-29.654814,857.1397,-183.10338,-139.93855,1017.2421,-187.45403,-40.23471,717.3906,74.06318,6.1482425,839.2063,-150.9146,-227.81305,611.34436,165.09874,233.19798,545.7047,-144.58109,232.84227,548.20337,126.808014,77.66963,68.28061,-147.34456,78.431175,79.452644,187.55397,340.65265,76.40864,-176.2113,342.6678,85.858315,0.0,0.0,0.0
19.994831,-130.83046,1338.9353,12.953436,-76.539635,908.8558,212.94649,-130.25096,1014.3858,163.85583,-60.241863,691.8038,-72.29132,-28.2449,856.59375,-182.97554,-137.97365,1017.1776,-187.46346,-39.37372,716.95135,73.77545,7.0950303,838.91266,-150.89429,-227.22781,611.64886,165.43584,233.35616,545.4922,-144.6719,233.09808,548.1188,126.89211,77.79853,68.21909,-147.58205,78.14735,79.55649,187.57838,340.6103,76.29914,-176.46564,342.86456,86.17074,0.0,0.0,0.0
20.822422,-127.97712,1338.6864,13.193923,-75.46127,908.2982,213.03748,-128.26768,1014.08405,163.84348,-59.43256,691.8495,-72.02316,-27.009989,856.1043,-182.73985,-135.98247,1017.04346,-187.41412,-38.342068,716.49695,74.279335,8.786285,838.16724,-150.92725,-226.74146,611.8404,165.69547,233.44005,545.4373,-144.76808,233.41238,548.0884,126.606026,78.06181,68.39505,-147.56786,78.15275,79.531685,187.51837,340.68707,76.20403,-176.15999,342.74344,85.94877,0.0,0.0,0.0
