NO_OF_FRAMES	939
NO_OF_CAMERAS	0
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	1969-12-31, 21:00:00	0.00000000
DATA_INCLUDED	3D
MARKER_NAMES	SACRO	EIASD	EIASE	EIPSD	EIPSE	TMFD	ELFD	EMFD
1.943	586.123	955.817	-155.312	422.315	931.309	130.497	400.619	923.262	-52.010	578.163	963.204	58.847	575.427	960.288	-183.095	457.830	883.667	-213.437	391.766	471.725	-70.511	387.734	449.133
1.918	586.413	955.621	-155.328	422.566	931.014	130.461	400.907	922.998	-52.026	578.427	962.988	58.823	575.682	960.106	-183.119	458.145	883.407	-213.660	391.443	471.663	-70.742	387.357	449.094
1.892	586.699	955.425	-155.349	422.816	930.720	130.423	401.191	922.731	-52.043	578.685	962.772	58.796	575.933	959.922	-183.147	458.455	883.148	-213.881	391.116	471.600	-70.971	386.981	449.056
1.864	586.980	955.228	-155.374	423.067	930.424	130.383	401.471	922.460	-52.061	578.938	962.556	58.769	576.179	959.737	-183.177	458.761	882.889	-214.100	390.786	471.535	-71.196	386.607	449.019
1.834	587.258	955.030	-155.404	423.319	930.127	130.342	401.746	922.185	-52.081	579.185	962.340	58.739	576.421	959.549	-183.210	459.062	882.630	-214.317	390.452	471.468	-71.419	386.234	448.982
1.803	587.531	954.830	-155.439	423.574	929.828	130.299	402.017	921.905	-52.102	579.427	962.122	58.709	576.658	959.358	-183.245	459.358	882.371	-214.533	390.115	471.399	-71.639	385.861	448.945
1.771	587.801	954.628	-155.479	423.831	929.525	130.255	402.284	921.620	-52.124	579.664	961.904	58.678	576.891	959.163	-183.283	459.649	882.111	-214.747	389.774	471.327	-71.858	385.489	448.908
1.737	588.067	954.423	-155.523	424.092	929.220	130.210	402.546	921.328	-52.148	579.897	961.683	58.646	577.120	958.964	-183.324	459.935	881.852	-214.960	389.429	471.254	-72.074	385.115	448.872
1.702	588.330	954.216	-155.573	424.357	928.909	130.163	402.804	921.029	-52.173	580.127	961.460	58.614	577.346	958.760	-183.368	460.216	881.592	-215.172	389.081	471.178	-72.289	384.741	448.835
1.666	588.590	954.005	-155.626	424.627	928.594	130.116	403.057	920.723	-52.200	580.353	961.236	58.581	577.567	958.551	-183.414	460.492	881.331	-215.382	388.728	471.101	-72.503	384.365	448.797
1.628	588.846	953.790	-155.683	424.902	928.274	130.067	403.306	920.409	-52.228	580.576	961.008	58.548	577.786	958.336	-183.463	460.763	881.069	-215.593	388.372	471.021	-72.716	383.988	448.759
1.590	589.100	953.572	-155.744	425.180	927.948	130.016	403.550	920.087	-52.258	580.796	960.778	58.514	578.001	958.115	-183.515	461.030	880.807	-215.803	388.012	470.940	-72.928	383.608	448.720
1.551	589.351	953.349	-155.808	425.460	927.617	129.965	403.789	919.758	-52.289	581.014	960.544	58.481	578.214	957.888	-183.568	461.292	880.543	-216.013	387.648	470.856	-73.140	383.225	448.680
1.510	589.600	953.123	-155.873	425.741	927.281	129.912	404.024	919.421	-52.322	581.230	960.307	58.447	578.424	957.656	-183.624	461.549	880.277	-216.224	387.281	470.771	-73.350	382.840	448.638
1.469	589.846	952.891	-155.940	426.022	926.940	129.858	404.255	919.076	-52.357	581.444	960.066	58.412	578.632	957.417	-183.682	461.802	880.010	-216.435	386.909	470.685	-73.561	382.452	448.595
1.428	590.090	952.655	-156.007	426.302	926.594	129.803	404.480	918.723	-52.394	581.656	959.822	58.378	578.838	957.172	-183.741	462.050	879.741	-216.648	386.534	470.597	-73.771	382.060	448.551
