head                          _X,head                          _Y,head                          _Z,chest                         _X,chest                         _Y,chest                         _Z,rShoulder                     _X,rShoulder                     _Y,rShoulder                     _Z,rElbow                        _X,rElbow                        _Y,rElbow                        _Z,rWrist                        _X,rWrist                        _Y,rWrist                        _Z,lShoulder                     _X,lShoulder                     _Y,lShoulder                     _Z,lElbow                        _X,lElbow                        _Y,lElbow                        _Z,lWrist                        _X,lWrist                        _Y,lWrist                        _Z,rKnee                         _X,rKnee                         _Y,rKnee                         _Z,lKnee                         _X,lKnee                         _Y,lKnee                         _Z,rHeel                         _X,rHeel                         _Y,rHeel                         _Z,lHeel                         _X,lHeel                         _Y,lHeel                         _Z,rToe                          _X,rToe                          _Y,rToe                          _Z,lToe                          _X,lToe                          _Y,lToe                          _Z,lHip                          _X,lHip                          _Y,lHip                          _Z,rHip                          _X,rHip                          _Y,rHip                          _Z
13.021197,-163.57228,1335.957,6.3446817,-82.823944,902.72864,203.8355,-129.60416,994.2459,164.67819,-71.803505,688.3817,-74.06223,-35.436954,841.54364,-194.50104,-128.9839,998.8941,-203.60182,-31.175718,718.39954,59.037136,-7.0497184,839.6172,172.89912,212.74188,551.90686,-143.21239,231.62483,551.47504,132.78543,116.12081,68.27133,-136.98387,122.65866,79.89328,196.80371,376.4325,76.94584,-195.79047,381.2769,84.20856,-152.5847,-219.03864,606.86646,0.0,0.0,0.0
12.514014,-163.52113,1335.6498,6.2493706,-82.89779,902.747,203.93687,-129.76395,994.4447,164.7954,-71.87625,688.41895,-74.0387,-35.319267,841.5605,-194.60039,-128.8122,998.85,-203.43042,-30.838558,718.3713,59.08453,-6.983033,839.68445,173.00055,212.64644,551.8587,-143.1237,231.63548,551.45087,132.79062,116.11855,68.27089,-136.9325,122.63885,79.93782,196.79353,376.4229,76.93925,-195.77232,381.1602,83.95606,-152.93831,-219.02272,606.9948,0.0,0.0,0.0
12.095749,-163.74513,1335.818,6.2821236,-82.862946,902.8155,203.79741,-129.89221,994.5602,164.83043,-71.856964,688.54175,-73.98454,-35.177822,841.61237,-194.6732,-128.64786,998.7802,-203.33601,-30.622276,718.30084,58.980385,-7.118933,839.7976,173.05829,212.64728,551.8776,-143.11244,231.67139,551.4476,132.78937,116.193756,68.23602,-136.97101,122.59047,79.9521,196.77963,376.41077,76.94525,-195.75768,381.31616,84.1255,-153.01219,-218.98369,607.07007,0.0,0.0,0.0
11.868834,-163.46027,1335.5477,6.2492566,-82.869,902.8756,203.71225,-130.03372,994.69006,164.97801,-71.88125,688.6553,-73.992966,-35.073917,841.6347,-194.79747,-128.49347,998.7227,-203.28061,-30.339602,718.31274,58.978634,-7.2046413,839.7579,173.1461,212.61621,551.8529,-143.0679,231.71613,551.4492,132.77531,116.18949,68.23621,-136.97557,122.60211,79.97717,196.772,376.39737,76.96966,-195.88976,381.03375,83.90384,-153.00917,-218.92036,607.0295,0.0,0.0,0.0
11.51961,-163.45901,1335.5951,6.2014675,-82.82952,902.9334,203.62976,-130.14091,994.80664,164.62663,-71.890656,688.8336,-74.00668,-34.919464,841.6467,-194.87776,-128.3108,998.6648,-203.0892,-30.062183,718.2776,59.0111,-7.154629,839.8683,173.04234,212.6828,551.76575,-143.00677,231.73363,551.4576,132.86172,116.24806,68.25723,-137.04482,122.3402,79.86146,196.73648,376.44196,76.89541,-195.75693,381.4117,84.122604,-152.98953,-218.88431,606.9956,0.0,0.0,0.0
11.3856325,-163.66946,1335.7988,6.218209,-82.76241,902.9315,203.69621,-130.38673,994.9471,164.6452,-71.85531,688.9966,-73.97627,-34.792953,841.6913,-195.01776,-128.19522,998.58356,-202.65002,-29.652058,718.098,59.20192,-7.0136228,839.99036,173.2122,212.58882,551.8152,-143.00342,231.75978,551.4231,132.78535,116.122795,68.25645,-137.05888,122.33186,79.890045,196.7931,376.47168,76.92192,-195.77402,381.1356,83.917694,-153.07315,-218.8236,607.0075,0.0,0.0,0.0
11.285982,-163.72034,1335.7054,6.1752906,-82.77346,902.963,203.37253,-130.52126,994.9666,164.85083,-72.18598,689.39703,-73.96228,-34.69999,841.75494,-195.13458,-128.01537,998.5113,-202.57126,-29.45982,718.062,59.013184,-7.1056724,839.96576,173.1985,212.59866,551.7288,-142.94563,231.75264,551.4272,132.76974,116.07565,68.279335,-136.98045,122.58935,79.949745,196.78923,376.47354,76.95326,-195.75877,381.10178,83.9727,-153.10236,-218.79614,607.05774,0.0,0.0,0.0
10.92449,-163.70407,1335.8304,5.6952233,-82.23813,902.9661,202.93706,-130.48453,995.00415,164.86723,-71.84017,689.2843,-73.93483,-34.579266,841.7421,-195.24513,-127.86154,998.46387,-202.46753,-29.204435,718.0335,59.08399,-7.052381,840.0253,173.27716,212.6083,551.8447,-142.92397,231.77812,551.4599,132.76363,116.13625,68.24941,-137.20183,122.80976,79.948265,196.72658,376.4718,76.95481,-195.8347,381.5048,84.35393,-153.13754,-218.78702,607.09467,0.0,0.0,0.0
10.497536,-163.85602,1335.8857,5.993868,-82.555824,903.0088,202.84283,-130.46002,995.10364,164.94684,-71.768394,689.3845,-73.98009,-34.451176,841.70465,-195.38437,-127.7312,998.392,-202.4277,-29.050034,717.94904,58.975845,-7.052743,840.03394,173.33305,212.56683,551.72394,-142.91821,231.80733,551.45306,132.78603,116.10349,68.26902,-136.96443,122.55699,79.94325,196.79642,376.41446,76.97059,-195.75945,381.28143,84.04571,-153.11385,-218.73605,607.05646,0.0,0.0,0.0
10.295985,-163.83327,1335.9634,5.903815,-82.47669,902.9993,202.68954,-130.48976,995.22455,165.03746,-71.681786,689.52094,-74.00785,-34.382294,841.6777,-195.4933,-127.55992,998.2927,-202.67502,-29.084887,717.99,58.90999,-7.066353,840.092,173.30426,212.5757,551.73956,-142.91917,231.81454,551.46,132.75531,116.127174,68.24888,-136.97633,122.67394,79.92857,196.79636,376.43668,76.95378,-195.79298,381.3559,84.13872,-153.09679,-218.70705,607.0319,0.0,0.0,0.0
