scorer,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000
bodyparts,quadril,quadril,quadril,joelho,joelho,joelho,maleolo,maleolo,maleolo,calcaneo,calcaneo,calcaneo,pontadope,pontadope,pontadope
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
29,262.57989501953125,67.19244384765625,0.9993745684623718,293.084228515625,124.16633605957031,0.99916672706604,218.37876892089844,121.21533966064453,0.9997652173042297,209.11685180664062,118.31207275390625,0.999810516834259,214.78314208984375,143.924560546875,0.9987071752548218
30,267.3629455566406,68.3781509399414,0.9986259937286377,299.3077697753906,122.3418197631836,0.9961957931518555,228.55810546875,130.57373046875,0.9999207258224487,218.22938537597656,127.16194152832031,0.9994055032730103,229.8695526123047,152.01812744140625,0.9978821873664856
31,271.177978515625,68.06330871582031,0.9988910555839539,311.3879699707031,121.27386474609375,0.9996597766876221,240.91436767578125,139.3611297607422,0.9994858503341675,226.81277465820312,137.76260375976562,0.9996261596679688,248.49591064453125,163.6380615234375,0.9992685914039612
32,276.7817077636719,65.36400604248047,0.9993544220924377,322.837890625,118.56082916259766,0.9994900226593018,255.33302307128906,148.5378875732422,0.9996365308761597,241.2835693359375,147.59091186523438,0.9992982149124146,265.76495361328125,170.32931518554688,0.9962968230247498
33,280.7913513183594,65.81791687011719,0.9992601275444031,325.7082824707031,112.90450286865234,0.9996943473815918,266.87451171875,157.947509765625,0.998964786529541,255.13746643066406,157.46603393554688,0.9980146884918213,280.3482360839844,176.7420196533203,0.9770931005477905
34,284.6996154785156,66.8672866821289,0.9991506338119507,330.7618103027344,111.07347106933594,0.9456113576889038,284.2253112792969,165.45150756835938,0.9974449872970581,273.8016662597656,168.65138244628906,0.9930288195610046,303.5723876953125,180.83453369140625,0.624959409236908
35,290.3870849609375,64.82555389404297,0.9973625540733337,339.967529296875,105.8602294921875,0.8813491463661194,299.5025634765625,173.1712188720703,0.8868409395217896,291.1749267578125,175.01715087890625,0.6513288021087646,327.1919250488281,182.3238067626953,0.896787166595459
36,293.9578552246094,64.32386779785156,0.9984012246131897,344.9296875,101.93476867675781,0.7213233709335327,311.4937744140625,176.14756774902344,0.7120580673217773,307.9291076660156,176.57884216308594,0.18550939857959747,357.0279541015625,181.5450439453125,0.8292121887207031
37,295.7170715332031,64.33760070800781,0.9939122200012207,348.0074462890625,101.2515869140625,0.7140363454818726,328.4192199707031,173.73355102539062,0.9240404367446899,318.23992919921875,179.09413146972656,0.6414720416069031,371.9929504394531,177.90737915039062,0.9334119558334351
38,299.57171630859375,65.21510314941406,0.9964630007743835,349.92138671875,104.2886962890625,0.9863211512565613,345.3443298339844,171.45294189453125,0.9753039479255676,336.3675842285156,179.447509765625,0.9545194506645203,376.9505615234375,176.4141082763672,0.9737440347671509
39,302.6064147949219,64.4978256225586,0.9989243149757385,355.7971496582031,104.37705993652344,0.998816728591919,358.5682678222656,168.94140625,0.9971717000007629,347.6463928222656,177.72451782226562,0.9280933737754822,387.4539489746094,174.8647918701172,0.9841881990432739
