head                          _X,head                          _Y,head                          _Z,chest                         _X,chest                         _Y,chest                         _Z,rShoulder                     _X,rShoulder                     _Y,rShoulder                     _Z,rElbow                        _X,rElbow                        _Y,rElbow                        _Z,rWrist                        _X,rWrist                        _Y,rWrist                        _Z,lShoulder                     _X,lShoulder                     _Y,lShoulder                     _Z,lElbow                        _X,lElbow                        _Y,lElbow                        _Z,lWrist                        _X,lWrist                        _Y,lWrist                        _Z,lHip                          _X,lHip                          _Y,lHip                          _Z,rKnee                         _X,rKnee                         _Y,rKnee                         _Z,lKnee                         _X,lKnee                         _Y,lKnee                         _Z,rHeel                         _X,rHeel                         _Y,rHeel                         _Z,lHeel                         _X,lHeel                         _Y,lHeel                         _Z,rToe                          _X,rToe                          _Y,rToe                          _Z,lToe                          _X,lToe                          _Y,lToe                          _Z,rHip                          _X,rHip                          _Y,rHip                          _Z
-18.226542,414.37265,1721.6797,3.661253,507.051,1302.0992,221.28445,396.30136,1389.8104,260.18814,380.32947,1096.7811,249.38943,543.2103,878.3487,-208.74037,383.92334,1386.1584,-249.21675,383.6364,1094.9047,-229.69617,537.5037,872.05646,-154.64845,430.16016,959.9972,99.36002,466.66794,511.15268,-99.77062,463.3472,497.62415,102.83801,292.71704,67.79313,-108.390976,281.2258,80.58184,123.73455,561.2316,74.31115,-168.69046,540.67035,77.47869,163.4184,426.07965,983.86475
-19.057915,414.5482,1721.4285,3.5903957,506.91016,1302.0798,221.13593,396.1765,1389.7563,259.9908,380.2728,1096.7222,249.2901,543.18134,878.3276,-208.84453,383.8695,1386.2275,-249.20557,383.7098,1094.916,-228.85909,538.1875,872.0032,-154.92361,430.13055,960.01807,99.31848,466.7426,511.184,-99.844955,463.5243,497.5951,102.99107,292.8419,67.92548,-108.37385,281.23398,80.57809,123.79656,561.21075,74.322205,-168.84846,540.766,77.598564,163.3199,425.92618,983.85815
-19.757114,414.5275,1721.7218,3.5506716,506.7369,1302.0612,221.09201,395.99612,1389.7432,259.92365,380.11914,1096.6913,249.23035,543.1463,878.34814,-208.98412,383.80405,1386.3119,-249.2733,383.8118,1094.918,-229.33693,538.9592,873.0848,-149.62103,422.0998,957.5791,99.279976,466.76218,511.19946,-99.64214,463.1403,497.84927,103.067375,292.85156,67.87278,-108.43085,281.13947,80.50711,123.78443,561.3005,74.322876,-168.8249,540.5789,77.4945,162.7856,425.11487,983.38416
-20.70666,414.84253,1721.3573,3.4711704,506.5685,1302.0918,220.94482,395.8101,1389.7306,259.79062,380.06018,1096.7283,249.23288,543.16583,878.3989,-209.14487,383.84177,1386.4049,-249.28224,383.88855,1094.9286,-228.88345,539.81055,873.4292,-155.10632,429.91034,960.0103,99.21115,466.79562,511.2131,-99.84869,463.357,497.70087,103.0808,292.77344,67.945946,-108.328964,281.24545,80.58282,123.7067,561.2598,74.33855,-168.60876,540.5728,77.391136,162.77278,425.12024,983.4128
-21.365973,415.0288,1721.6567,3.4213986,506.28967,1302.0939,220.88239,395.5836,1389.7842,259.337,380.5283,1096.5834,249.28767,543.2178,878.51654,-209.27777,383.8292,1386.4719,-249.29951,384.0101,1094.8861,-228.55353,540.4465,873.73645,-154.90773,429.86447,959.9811,99.19541,466.86218,511.2379,-99.78316,463.28244,497.8348,103.04841,292.78064,67.939415,-108.72832,281.26898,80.479294,123.757965,561.27795,74.34584,-168.68661,540.5108,77.29699,162.72188,424.81924,983.3903
-22.223965,415.31207,1721.5983,3.3701568,506.18243,1302.1462,220.7777,395.3057,1389.813,259.17773,380.47104,1096.6118,249.33646,543.322,878.6089,-209.34624,383.761,1386.4883,-249.30904,384.09125,1094.8123,-228.15393,541.02057,873.9909,-155.04993,430.08054,960.09937,99.18465,466.89725,511.29266,-99.69142,463.12128,497.94095,103.024704,292.7164,67.97059,-108.61797,281.32175,80.52242,123.74018,561.2469,74.32004,-168.66406,540.53925,77.32784,162.70395,424.64612,983.4669
-23.083612,415.29156,1721.7491,3.8218489,505.31714,1302.1997,220.70811,395.06226,1389.8805,259.0437,380.38004,1096.6696,249.475,543.419,878.76733,-209.53375,383.78757,1386.5132,-249.37332,384.2185,1094.7517,-227.79286,541.5422,874.3092,-155.04764,430.0315,960.151,99.13535,466.9437,511.32303,-99.84326,463.1432,497.96954,103.06626,292.7965,67.970825,-108.29642,281.23917,80.64286,123.78694,561.23126,74.295944,-168.78152,540.6131,77.5076,162.61243,424.37128,983.4303
-23.346085,416.05353,1721.3042,3.8229628,505.15152,1302.2157,220.61845,394.70242,1390.0264,258.88297,380.31723,1096.7191,249.62546,543.59314,879.0186,-209.68192,383.744,1386.5011,-249.43103,384.3478,1094.6873,-227.37227,542.033,874.4371,-155.2034,429.81635,960.0081,99.13246,467.02023,511.33957,-100.04387,463.24374,497.76627,103.12765,292.79507,68.00085,-108.2972,281.25363,80.64188,123.7412,561.2351,74.32893,-168.76773,540.6646,77.520996,162.61104,424.17297,983.4958
-24.275717,416.41086,1721.3417,3.8437858,504.88904,1302.2662,220.48735,394.36612,1390.126,258.76694,380.2232,1096.7672,249.78053,543.8035,879.2825,-209.84404,383.69632,1386.474,-249.45584,384.5076,1094.5869,-226.72087,542.622,874.552,-149.83406,423.0603,957.5743,99.07091,467.02765,511.358,-99.87669,463.04724,497.97446,103.10977,292.80264,68.07742,-108.294556,281.24127,80.621414,123.7861,561.2515,74.33785,-168.6146,540.6614,77.534195,162.84552,424.268,983.97644
-24.444443,417.15213,1720.9346,3.8041942,504.72903,1302.2957,220.33734,393.99,1390.2101,258.6986,380.1631,1096.8555,249.98897,544.10785,879.56506,-209.97343,383.6016,1386.3572,-249.51552,384.63022,1094.4817,-226.59647,543.1445,874.894,-155.18279,430.08643,960.0179,99.097595,467.07477,511.39243,-100.16994,463.27277,497.84354,103.1403,292.79855,68.032455,-108.35188,281.13486,80.54382,123.772865,561.2287,74.34894,-168.81647,540.6093,77.44582,162.84984,423.89142,984.0292
-24.610344,418.21008,1720.9208,3.798755,504.56366,1302.3965,220.17351,393.65005,1390.3386,258.5904,380.03888,1096.9628,250.16772,544.3884,879.9341,-210.09688,383.47412,1386.2457,-249.5199,384.7875,1094.3029,-226.29222,543.6386,875.01953,-155.14613,430.13498,959.9436,99.108574,467.1798,511.3772,-100.07045,463.19247,497.84695,102.95529,292.7307,67.83682,-108.306,281.22726,80.62579,123.77213,561.2649,74.29543,-168.57019,540.5849,77.39732,162.61778,423.6497,984.1329
-24.684786,418.72137,1720.7947,3.829813,504.41437,1302.3976,219.89029,393.28152,1390.432,258.53625,379.9495,1097.0852,250.39685,544.68884,880.36633,-210.23044,383.42007,1386.0781,-249.61378,384.97116,1094.1659,-225.98915,543.97296,874.94824,-155.07198,430.16226,960.0592,99.1062,467.21518,511.46115,-100.09845,463.19922,497.8152,102.875,292.72214,67.93329,-108.70684,281.2705,80.456505,123.75445,561.2643,74.310486,-168.51514,540.4549,77.096565,162.58533,423.2967,984.04047
-24.876339,419.47025,1720.7775,3.426499,504.77847,1302.3987,219.73003,392.87112,1390.5428,258.4359,379.87607,1097.1907,250.62138,545.0863,880.8539,-210.4348,383.2858,1385.9099,-249.7272,385.12436,1093.9686,-225.75185,544.3859,875.0964,-155.0629,430.20084,960.0616,99.07175,467.21848,511.52704,-100.1268,463.28128,497.77444,103.030815,292.7804,68.00918,-108.42645,281.0948,80.52223,123.74291,561.26184,74.295395,-168.6527,540.67206,77.39653,162.57935,423.11435,984.1212
-24.855936,420.74075,1720.814,3.492459,504.55536,1302.4215,219.48419,392.37848,1390.682,258.4528,379.75394,1097.3744,250.85136,545.4857,881.3631,-210.59622,383.28165,1385.7109,-249.74306,385.32,1093.8259,-225.37332,544.65393,875.0036,-151.77916,418.8513,960.90875,99.13669,467.27676,511.47,-100.02749,463.26407,497.6991,102.96935,292.79532,67.98153,-108.67431,281.4028,80.539215,123.740265,561.2854,74.243454,-168.82198,540.5549,77.44102,162.60066,422.7371,984.2275
-24.502232,421.5505,1720.7727,3.4469447,504.2935,1302.3597,219.25389,391.8953,1390.8634,258.54688,379.59686,1097.5645,251.15526,545.9106,881.9445,-210.62227,382.99225,1385.294,-249.78809,385.54333,1093.634,-224.83371,545.15063,874.6095,-155.20345,430.23303,960.053,99.93344,468.05978,511.7641,-100.03644,463.29446,497.6434,102.9233,292.83597,68.029396,-108.71883,281.25485,80.43186,123.78751,561.2473,74.31736,-168.80815,540.5835,77.39071,162.73401,422.4535,984.172
-23.87317,422.89697,1720.8916,3.8364327,503.57162,1302.3444,219.03268,391.3608,1391.0819,258.59296,379.49557,1097.8,251.50092,546.3965,882.5936,-210.84038,383.07675,1385.0924,-249.84433,385.7423,1093.3726,-224.76747,545.574,874.78235,-149.53856,423.26874,957.33936,99.10477,467.2818,511.48962,-100.0743,463.29938,497.5617,102.76192,292.7249,67.82158,-108.7689,281.2638,80.40764,123.73377,561.27313,74.24392,-168.71698,540.6216,77.342926,162.64426,422.05768,984.18726
