head                          _X,head                          _Y,head                          _Z,chest                         _X,chest                         _Y,chest                         _Z,rShoulder                     _X,rShoulder                     _Y,rShoulder                     _Z,rElbow                        _X,rElbow                        _Y,rElbow                        _Z,rWrist                        _X,rWrist                        _Y,rWrist                        _Z,lShoulder                     _X,lShoulder                     _Y,lShoulder                     _Z,lElbow                        _X,lElbow                        _Y,lElbow                        _Z,lWrist                        _X,lWrist                        _Y,lWrist                        _Z,rHip                          _X,rHip                          _Y,rHip                          _Z,lHip                          _X,lHip                          _Y,lHip                          _Z,rKnee                         _X,rKnee                         _Y,rKnee                         _Z,lKnee                         _X,lKnee                         _Y,lKnee                         _Z,rHeel                         _X,rHeel                         _Y,rHeel                         _Z,lHeel                         _X,lHeel                         _Y,lHeel                         _Z,rToe                          _X,rToe                          _Y,rToe                          _Z,lToe                          _X,lToe                          _Y,lToe                          _Z
20.960583,549.2922,1258.2179,33.86336,489.76,832.0482,202.5018,509.03488,983.3257,248.64856,585.2285,685.4696,216.13222,851.94305,699.0592,-145.66164,518.71436,985.5943,-229.59508,620.4662,743.3596,-159.65862,870.4685,683.3831,162.21205,156.35075,729.57245,-144.15942,187.50374,690.9725,175.24054,521.9474,466.12326,-122.86175,551.56647,463.90582,108.65343,187.54987,73.85009,-78.39404,202.59207,86.9859,230.10747,427.819,67.077515,-180.84532,447.68927,74.76369
20.384268,541.5554,1280.9005,33.47212,491.31277,853.7305,200.80795,507.57547,1009.698,249.48213,609.7854,720.5497,211.23616,871.0663,768.95856,-143.71272,515.0053,1010.9956,-232.10178,636.36096,781.0132,-151.19829,888.96704,750.25977,162.03769,158.91917,738.3851,-143.57892,191.4389,702.00037,176.4629,521.97345,466.15115,-122.48576,552.649,464.0176,108.62929,187.4873,73.942894,-78.34717,202.82103,87.52561,230.28348,427.92566,67.10388,-180.83022,447.87357,74.65208
20.006334,534.5075,1303.8129,33.70287,493.13803,876.62006,199.35252,505.15488,1037.1086,252.2698,631.741,759.8805,206.83551,884.1467,839.6845,-141.09032,511.03317,1037.507,-235.83765,650.3578,821.2614,-144.61081,901.68005,818.5635,162.00789,161.63988,749.1864,-142.55331,195.87758,713.5163,177.86113,521.93646,466.6542,-122.342155,552.99255,464.40393,108.626465,187.62756,74.11128,-78.193184,203.16603,88.40232,230.24727,427.937,66.84185,-181.02242,448.05307,74.627655
19.990837,528.4914,1327.5273,33.778965,494.9003,900.0596,196.26927,502.46338,1066.1014,257.71936,651.5933,802.4884,203.84637,891.2167,911.05023,-137.97807,506.17026,1064.9105,-240.66678,662.1038,863.77185,-140.18811,908.76337,887.6497,162.6754,165.58015,761.61804,-141.79066,200.859,725.911,179.12602,521.5783,467.1383,-122.912994,553.61163,465.3805,108.678635,187.65779,74.27903,-78.27092,203.78403,89.70009,230.25613,428.0563,66.75913,-181.09668,448.24112,74.5105
19.592257,522.98114,1351.8666,32.98276,497.38388,924.7163,192.20259,499.0276,1095.7363,264.22852,668.82007,848.65857,202.01099,893.0619,982.218,-135.47769,500.73227,1093.0906,-246.19193,671.5125,908.1697,-136.06721,911.2649,956.68646,163.84738,170.29242,774.968,-141.3361,205.80714,739.2574,180.40617,520.80975,467.9713,-123.86252,553.3602,466.92203,108.84168,187.43864,74.62119,-77.845184,204.2738,91.46997,230.42305,428.1434,66.60212,-181.15897,448.5457,74.224846
19.518173,518.42175,1376.9623,32.87046,499.4884,950.9505,188.84415,494.32803,1126.0457,271.8224,683.1946,897.7188,200.73576,890.5407,1052.9487,-133.57953,495.00165,1121.5607,-252.3976,678.4935,954.1937,-133.40425,908.8535,1025.5526,164.7698,175.44598,788.77106,-139.8833,211.13466,753.0333,182.06198,519.6366,469.4533,-125.548386,553.3002,469.27548,108.51944,188.044,74.84605,-77.66373,205.17307,93.65613,230.55237,428.2771,66.40571,-181.30017,449.14783,74.23269
19.23726,514.7558,1402.8604,32.233063,501.73593,977.92035,186.26688,488.89703,1156.4108,280.8967,694.9797,949.78766,200.58722,883.35657,1122.9375,-132.19032,488.92337,1150.7134,-258.6874,682.9461,1001.609,-132.59904,901.3323,1093.94,165.69987,181.20369,803.5483,-139.82191,217.4423,768.6828,183.95473,517.97455,471.70956,-127.20379,552.47485,472.4013,108.46542,188.74919,75.34037,-77.58706,206.14458,96.39538,230.6731,428.44717,66.1178,-181.55432,449.36145,74.07254
19.210833,511.91623,1429.1531,31.505257,503.8703,1006.01697,184.60806,482.67908,1187.5237,289.88022,702.9547,1003.3835,201.06561,872.2381,1191.4974,-131.21544,482.79178,1180.4772,-264.85785,684.5942,1049.8453,-131.19571,890.5751,1160.1345,166.87885,187.4891,819.4023,-138.88039,223.7354,785.329,185.23262,515.347,474.48535,-128.69536,550.95154,476.25003,107.94301,189.30675,75.988464,-77.44657,207.49785,99.67404,230.89926,428.78415,65.94684,-181.82706,449.58325,73.8836
18.188477,509.6927,1456.5886,30.581533,505.91385,1035.1293,182.78857,475.9026,1219.2582,298.1547,707.05524,1057.951,202.41884,857.0162,1258.2329,-130.04692,476.37103,1210.7563,-270.80704,683.3628,1098.1277,-132.43782,875.7537,1224.3961,167.83588,194.42308,836.426,-137.49997,230.72404,802.92126,186.66199,512.0237,478.19482,-130.81618,548.875,481.21753,106.59796,190.70618,77.18846,-77.20831,209.05122,103.4623,231.15164,429.06616,65.683784,-182.46336,449.28287,73.27345
17.86068,508.78076,1484.6345,29.508965,507.71255,1065.2429,180.3477,468.37103,1251.3975,306.40195,708.11945,1112.3876,203.65617,839.5289,1322.233,-129.13603,469.58157,1241.7871,-276.41757,679.8567,1145.8113,-134.48236,859.2344,1285.9883,168.78241,202.04253,854.9622,-136.66345,238.20033,821.8692,187.9509,507.9754,483.15277,-132.41531,545.6419,486.9882,106.05438,191.99403,79.51096,-77.11357,211.04115,107.68232,231.49263,429.39655,65.461845,-182.64647,449.70917,73.02241
