head                          _X,head                          _Y,head                          _Z,chest                         _X,chest                         _Y,chest                         _Z,rShoulder                     _X,rShoulder                     _Y,rShoulder                     _Z,rElbow                        _X,rElbow                        _Y,rElbow                        _Z,rWrist                        _X,rWrist                        _Y,rWrist                        _Z,lShoulder                     _X,lShoulder                     _Y,lShoulder                     _Z,lElbow                        _X,lElbow                        _Y,lElbow                        _Z,lWrist                        _X,lWrist                        _Y,lWrist                        _Z,lHip                          _X,lHip                          _Y,lHip                          _Z,rKnee                         _X,rKnee                         _Y,rKnee                         _Z,lKnee                         _X,lKnee                         _Y,lKnee                         _Z,rHeel                         _X,rHeel                         _Y,rHeel                         _Z,lHeel                         _X,lHeel                         _Y,lHeel                         _Z,rToe                          _X,rToe                          _Y,rToe                          _Z,lToe                          _X,lToe                          _Y,lToe                          _Z,rHip                          _X,rHip                          _Y,rHip                          _Z
22.586895,307.5111,1717.6687,27.320782,375.2646,1287.1307,238.94135,267.9461,1389.5007,278.75235,245.4127,1097.0897,260.32974,408.62497,876.6952,-194.40822,268.62946,1372.8375,-236.08954,255.07625,1094.8134,-209.41939,406.5021,867.8551,-132.67996,273.27872,965.75037,148.09227,332.51273,512.1929,-93.655075,334.6729,506.0922,142.43388,141.44295,67.51405,-117.78167,146.31633,80.16971,206.78036,403.1547,73.18433,-167.7729,408.85205,78.63164,182.3446,259.61777,990.2073
23.12987,311.0667,1717.2878,27.913443,375.88168,1286.0277,239.17667,269.24985,1389.8043,279.38205,244.61049,1097.5751,261.31122,407.56165,876.7831,-194.15662,270.57635,1372.9261,-236.8622,255.13477,1095.2673,-209.73984,406.6408,868.23444,-132.76952,271.4303,965.96814,147.63818,336.37903,511.80197,-93.66344,337.5208,506.28687,142.44452,141.44882,67.523315,-117.781624,146.3734,80.167885,206.76291,403.1981,73.14297,-167.8076,408.9639,78.75677,180.1347,258.50793,989.4781
23.001354,314.71823,1716.4702,28.376736,376.43292,1284.684,239.38297,270.63333,1390.0065,279.99393,244.02872,1098.0593,262.34134,406.37128,876.78906,-193.88875,273.00073,1372.9467,-237.69666,255.178,1095.6992,-209.72815,406.1778,868.51685,-132.51859,269.68933,966.08075,147.99123,340.3251,512.2538,-94.44788,340.71713,506.12186,142.43187,141.55867,67.585754,-117.789085,146.35432,80.17518,206.68541,403.2525,73.15217,-167.83307,408.88522,78.63596,179.53249,256.31964,989.0658
23.217445,318.8198,1715.4939,28.989738,376.75964,1283.2019,239.41666,272.2524,1390.105,281.21228,243.1129,1098.4795,263.44296,404.93057,876.6346,-193.40315,275.17664,1372.835,-238.75208,255.21475,1096.0979,-209.94394,406.0863,868.74164,-131.94127,268.19077,966.2554,149.37582,345.43225,512.38025,-94.82462,343.39584,506.65955,142.41391,141.54163,67.66931,-117.6798,146.47388,80.23953,206.73383,403.29904,73.10323,-167.89522,408.57568,78.38115,178.94931,253.43382,988.4814
23.698238,323.32568,1714.2039,29.401648,377.49356,1281.3478,239.24252,274.1152,1390.04,281.7646,242.51976,1098.6263,264.71338,403.58685,876.35004,-193.11505,277.95682,1372.587,-239.85239,255.35335,1096.4414,-211.13977,406.0097,869.0549,-132.25441,265.5645,966.2995,150.53448,350.25992,512.0273,-95.53208,347.06143,506.58875,142.39465,141.61845,67.69957,-117.68361,146.47758,80.24665,206.69858,403.4217,73.02098,-167.89326,408.83994,78.55422,179.67645,249.70854,987.81104
24.597647,327.8167,1711.9128,29.71474,378.18948,1279.3762,239.61722,275.80588,1389.7179,283.16092,241.56557,1098.7123,266.0537,402.17038,875.7602,-192.55972,280.33398,1372.102,-240.96338,255.48909,1096.4803,-211.3362,405.66406,868.5966,-132.21408,262.77084,966.633,152.61705,354.88916,511.9205,-96.23341,350.92365,506.49902,142.56688,141.24889,67.89488,-117.58227,146.77863,80.08174,206.69106,403.4626,72.94651,-167.80469,408.7804,78.628105,178.4641,247.10135,986.5661
24.740662,332.77667,1710.321,30.096182,378.92255,1276.9243,239.74638,277.70578,1389.072,283.9219,240.87477,1098.4652,267.54788,400.68466,875.01154,-192.06548,283.13354,1371.329,-242.17294,255.70464,1096.2891,-212.1712,405.42554,868.21155,-131.1805,260.93802,966.07117,154.01358,359.1874,511.19315,-97.2252,354.73157,506.59525,142.60692,141.34804,67.89472,-117.63107,146.59872,80.12742,206.73856,403.54263,72.85887,-167.89026,408.5075,78.38779,178.18921,243.78423,985.4023
25.611847,337.88593,1707.852,30.626152,379.84116,1273.955,239.949,279.7547,1388.144,285.26373,240.08429,1097.9154,268.96338,399.09366,873.80115,-191.62279,285.99734,1370.2885,-243.42917,256.0029,1095.921,-212.32275,404.96936,867.2553,-131.54356,257.90314,965.8429,155.87442,363.2672,510.66855,-98.13639,359.0437,506.32526,142.59573,141.25356,67.98982,-117.67862,146.59518,80.13987,206.60847,403.51727,72.6718,-167.77855,408.69513,78.55755,177.815,240.35774,983.4711
25.997114,342.7936,1705.2319,31.001375,380.65662,1270.7715,240.16153,281.9499,1386.8829,286.81747,239.05356,1097.0752,270.67734,397.4347,872.2678,-191.12947,288.98007,1368.8607,-244.76501,256.43936,1095.1803,-214.16232,405.09766,865.8488,-130.7614,255.28056,964.99915,157.44951,366.48108,510.34177,-99.23438,363.76187,506.26804,142.78934,141.491,67.99998,-117.64958,146.56274,80.12097,206.65228,403.55743,72.692116,-167.79068,408.69833,78.68073,178.38242,237.23373,981.9562
26.517443,348.17773,1701.9265,31.682335,380.9671,1266.983,240.4298,284.33417,1385.1807,288.05933,238.55556,1096.1277,272.45203,395.60458,870.3645,-190.52586,291.98874,1367.0952,-246.21667,257.00378,1094.2283,-215.27309,404.79788,864.68396,-130.63277,251.96756,964.082,159.06558,369.514,510.10114,-100.66792,368.87964,506.02344,142.31201,141.6103,67.88745,-117.64037,146.56203,80.12012,206.68141,403.6195,72.677635,-167.8637,408.73523,78.80168,178.29457,233.99402,980.11273
